GazeboID,SeasonNumber,StartDate,EndDate
"ECFA8716-D9A2-4445-8212-9F82F33D80D2",0,2019-06-01,2019-06-15
"031FC439-AA5F-4F50-98B9-DE23D6279F12",1,2019-06-15,2019-08-31
"7BC88514-A581-4FB7-82FD-7C2676DC8648",2,2019-08-31,2019-12-07
"4E13CFA1-DD6E-4DFC-987C-1FCC7949A1CE",3,2019-12-07,2020-03-07
"04CFEF40-5EC5-4EBC-92E1-8E7015EBEDAC",4,2020-03-07,2020-06-06
"F36EAF26-0D97-413C-9C32-2F3A4D0ED88D",5,2020-06-06,2020-09-05
"6C372B12-DE07-42A6-8424-8C9B06DB3956",6,2020-09-05,2020-12-05
"EC94B1F1-C5E3-4112-A59F-D79884C98F73",7,2020-12-05,2021-03-06
"5ED5FEFF-3C0F-4D5D-A6D2-D47483B7C1AD",8,2021-03-06,2021-06-05
"9C67C098-2A30-486F-AB5E-FF6C42554414",9,2021-06-05,2021-09-04
"43BBF861-DB15-41E7-89AC-C152B03A4613",10,2021-09-04,2021-12-04
"ED8404D4-CF50-414F-97B3-2922FA9DA196",11,2021-12-04,2022-03-05
"00963265-FD75-4EE6-91BC-B6186C055690",12,2022-03-05,2022-06-04
"4A971292-438C-4B49-BB76-9AD1F0B1320E",13,2022-06-04,2022-09-03
"58EF1A59-3554-44EF-9ECE-602C6EECDC21",14,2022-09-03,2022-12-03
"6de4d6ba-b524-4f45-9a3b-591bd116a97b",15,2022-12-03,2023-03-04
"1e0119ff-cdeb-4baa-96e1-ad5e4428711d",16,2023-03-04,2023-06-03
"59295f78-c9f7-407c-ad6f-16cdde74ab53",17,2023-06-03,2023-09-02
"ae8399d1-477e-4eb1-8285-fdd3e3b4eac3",18,2023-09-02,2023-12-02
"38A797BE-2A1C-449F-B754-2E95C1E51C18",19,2023-12-02,2024-03-02